Orthogroup	YEAST	AENJA_ok
OG0001113	YEAST05320	AENJA_06313
OG0001113	YEAST00954	AENJA_23050
OG0001114	YEAST00036, YEAST05811	AENJA_07133, AENJA_13675
OG0001124	YEAST02719	AENJA_16308
OG0001132	YEAST05421	AENJA_02927
OG0001133	YEAST04296	AENJA_14482, AENJA_13174, AENJA_03943, AENJA_09413, AENJA_03942
OG0001133	YEAST03271	AENJA_07797
OG0001134	YEAST05015	AENJA_06301
OG0001135	YEAST03641	AENJA_06307
OG0001136	YEAST05047, YEAST02997	AENJA_06348
OG0001140	YEAST03519	AENJA_10711
OG0001142	YEAST04001	AENJA_13577
OG0001163	YEAST02433	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045
OG0001164	YEAST03454	AENJA_04659, AENJA_14441, AENJA_04658, AENJA_11399
OG0001171	YEAST04620, YEAST03578	AENJA_07498
OG0001175	YEAST00534	AENJA_19603, AENJA_10616
OG0001177	YEAST06137	AENJA_12717, AENJA_23960, AENJA_22118
OG0001179	YEAST00368, YEAST04831, YEAST02287	AENJA_13625, AENJA_13628, AENJA_26058
OG0001181	YEAST02051	AENJA_14047
OG0001184	YEAST01681	AENJA_17799, AENJA_15086
OG0001185	YEAST04969	AENJA_17542
OG0001186	YEAST04605, YEAST01886	AENJA_21307, AENJA_18825
OG0001197	YEAST01499	AENJA_00493
OG0001201	YEAST05452	AENJA_02210
OG0001204	YEAST05200	AENJA_04033, AENJA_20148
OG0001207	YEAST03225, YEAST00090	AENJA_15259
OG0001207	YEAST04258	AENJA_18056, AENJA_07276
OG0001210	YEAST05511	AENJA_18956
OG0001210	YEAST02318	AENJA_09592, AENJA_09591
OG0001212	YEAST03971	AENJA_09959, AENJA_14546, AENJA_09958, AENJA_09956
OG0001214	YEAST00577	AENJA_24301, AENJA_11388
OG0001216	YEAST00145	AENJA_16979
OG0001219	YEAST03867	AENJA_18562
OG0001236	YEAST03325, YEAST02687, YEAST03269	AENJA_12409, AENJA_05080
OG0001237	YEAST04380	AENJA_05566, AENJA_19599
OG0001238	YEAST04481	AENJA_07960, AENJA_05667
OG0001241	YEAST02002	AENJA_21346
OG0001241	YEAST03967, YEAST01074	AENJA_07588
OG0001243	YEAST00739, YEAST05004	AENJA_09040
OG0001249	YEAST01062, YEAST02067	AENJA_17683
OG0001250	YEAST02968, YEAST01339	AENJA_18393
OG0001251	YEAST00750	AENJA_20006
OG0001253	YEAST03998	AENJA_21103
OG0001254	YEAST04309	AENJA_25593
OG0001262	YEAST00911	AENJA_25759, AENJA_02100
OG0001263	YEAST00172	AENJA_02283, AENJA_25444
OG0001268	YEAST03495	AENJA_03712
OG0001270	YEAST01703	AENJA_04208
OG0001270	YEAST02398	AENJA_21003
OG0001271	YEAST05227, YEAST00662	AENJA_04651
OG0001278	YEAST01893	AENJA_09367, AENJA_15562
OG0001279	YEAST03070	AENJA_09382
OG0001280	YEAST00846	AENJA_11194
OG0001282	YEAST03744	AENJA_12223
OG0001284	YEAST00567, YEAST01498	AENJA_14056, AENJA_21135
OG0001286	YEAST00588, YEAST01486, YEAST03604	AENJA_16309
OG0001291	YEAST04453, YEAST04334	AENJA_21434
OG0001300	YEAST01098	AENJA_00411
OG0001302	YEAST02328	AENJA_13024
OG0001302	YEAST00299	AENJA_01840
OG0001310	YEAST00887	AENJA_06272, AENJA_10879
OG0001318	YEAST03712	AENJA_09435
OG0001319	YEAST01678	AENJA_09605
OG0001321	YEAST02280, YEAST01901	AENJA_14609
OG0001322	YEAST06128	AENJA_15110, AENJA_16813
OG0001324	YEAST00078	AENJA_15995
OG0001325	YEAST00793	AENJA_16492, AENJA_18977
OG0001326	YEAST05395	AENJA_16742, AENJA_18964
OG0001327	YEAST03176	AENJA_18352, AENJA_26627
OG0001332	YEAST03929, YEAST02705, YEAST00687	AENJA_23263
OG0001333	YEAST00728	AENJA_23772
OG0001341	YEAST06006	AENJA_03707, AENJA_05111, AENJA_17935, AENJA_00473, AENJA_21191
OG0001345	YEAST03613	AENJA_17713, AENJA_01500, AENJA_25364
OG0001353	YEAST00020, YEAST04041	AENJA_06742
OG0001363	YEAST06180	AENJA_12332
OG0001364	YEAST06038, YEAST00402	AENJA_13074
OG0001367	YEAST04688	AENJA_16641
OG0001368	YEAST01821	AENJA_16737
OG0001370	YEAST04067, YEAST05195, YEAST00897	AENJA_17284
OG0001371	YEAST00532, YEAST03976	AENJA_17844, AENJA_24112
OG0001372	YEAST00070	AENJA_25899
OG0001372	YEAST02226	AENJA_17922
OG0001375	YEAST05499, YEAST05567	AENJA_25362, AENJA_20082
OG0001378	YEAST02300	AENJA_22766
OG0001379	YEAST04155	AENJA_23248
OG0001386	YEAST05114	AENJA_26718
OG0001397	YEAST05731	AENJA_05269, AENJA_01101
OG0001400	YEAST02931	AENJA_02508, AENJA_22499, AENJA_22498, AENJA_02507
OG0001409	YEAST00885, YEAST04659	AENJA_06247
OG0001410	YEAST05046	AENJA_18215, AENJA_06436
OG0001411	YEAST04834	AENJA_06963, AENJA_10958
OG0001412	YEAST04490	AENJA_07170
OG0001413	YEAST04294	AENJA_07474, AENJA_17340, AENJA_17343
OG0001414	YEAST06070, YEAST01920	AENJA_08160
OG0001415	YEAST04230	AENJA_15367
OG0001415	YEAST00964	AENJA_17665
OG0001421	YEAST05252	AENJA_13339
OG0001422	YEAST05588, YEAST01363	AENJA_14173
OG0001424	YEAST01127	AENJA_15682, AENJA_17237
OG0001427	YEAST01885	AENJA_17543
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	AENJA_18858
OG0001430	YEAST01712	AENJA_19108
OG0001434	YEAST03991	AENJA_26114, AENJA_26117
OG0001445	YEAST01715	AENJA_02385
OG0001449	YEAST03188	AENJA_04181
OG0001449	YEAST05764	AENJA_05517
OG0001452	YEAST05900	AENJA_05087
OG0001454	YEAST01495, YEAST00573	AENJA_06306
OG0001456	YEAST00365	AENJA_07027
OG0001459	YEAST03073, YEAST03464	AENJA_18303, AENJA_08470
OG0001461	YEAST05255	AENJA_09214
OG0001468	YEAST03875, YEAST03904	AENJA_10995
OG0001469	YEAST02070	AENJA_20582
OG0001469	YEAST02765	AENJA_11151
OG0001470	YEAST00369, YEAST05375	AENJA_11625
OG0001472	YEAST03031	AENJA_12236, AENJA_13235
OG0001473	YEAST05711	AENJA_13618
OG0001474	YEAST01416, YEAST05312	AENJA_14700, AENJA_24781
OG0001478	YEAST01984	AENJA_19708
OG0001478	YEAST02078	AENJA_15450
OG0001479	YEAST01132	AENJA_16158
OG0001503	YEAST03032	AENJA_23557
OG0001503	YEAST02920	AENJA_03755
OG0001504	YEAST05406	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039
OG0001505	YEAST03361	AENJA_04619, AENJA_17806
OG0001508	YEAST04143	AENJA_06316
OG0001515	YEAST03320	AENJA_10215
OG0001520	YEAST03872	AENJA_12318
OG0001524	YEAST03912	AENJA_19275, AENJA_15536
OG0001525	YEAST00757	AENJA_16414
OG0001527	YEAST01395	AENJA_16808, AENJA_19917
OG0001529	YEAST01143	AENJA_18632
OG0001530	YEAST00643	AENJA_19473
OG0001546	YEAST03111	AENJA_02497, AENJA_09615, AENJA_02674, AENJA_04011
OG0001550	YEAST02405, YEAST05953	AENJA_05034, AENJA_05035
OG0001551	YEAST04817	AENJA_05503
OG0001553	YEAST05147, YEAST01586	AENJA_06179
OG0001557	YEAST04671	AENJA_13295
OG0001557	YEAST04551	AENJA_23342, AENJA_08073
OG0001558	YEAST04449	AENJA_08311
OG0001559	YEAST00445, YEAST02434	AENJA_08667
OG0001561	YEAST06176	AENJA_09420
OG0001564	YEAST05390	AENJA_11930
OG0001570	YEAST04678	AENJA_16842, AENJA_19842, AENJA_24461
OG0001573	YEAST03285	AENJA_19183
OG0001578	YEAST01872	AENJA_24180
OG0001580	YEAST06270	AENJA_25168
OG0001590	YEAST03476, YEAST00717, YEAST03955	AENJA_00406, AENJA_14826, AENJA_14823
OG0001594	YEAST03418	AENJA_16970, AENJA_01665, AENJA_04700, AENJA_09891
OG0001597	YEAST01702	AENJA_17835, AENJA_03457
OG0001603	YEAST02584	AENJA_05288, AENJA_25082, AENJA_05289
OG0001604	YEAST01428	AENJA_06276, AENJA_11253
OG0001605	YEAST04101	AENJA_06440
OG0001609	YEAST02739	AENJA_08323, AENJA_19787
OG0001610	YEAST00596	AENJA_08526, AENJA_08533, AENJA_08527, AENJA_09111, AENJA_08532
OG0001612	YEAST01109	AENJA_09589
OG0001628	YEAST04790	AENJA_16821, AENJA_21898, AENJA_21897, AENJA_25488
OG0001653	YEAST01151	AENJA_01256, AENJA_21125
OG0001655	YEAST03354	AENJA_03001
OG0001657	YEAST00101, YEAST00944	AENJA_03268
OG0001663	YEAST05642	AENJA_06086
OG0001676	YEAST02848	AENJA_26746
OG0001676	YEAST06155	AENJA_11724
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	AENJA_16799, AENJA_17425
OG0001680	YEAST01119, YEAST04022	AENJA_16822
OG0001685	YEAST01147	AENJA_18914
OG0001687	YEAST05279	AENJA_21090, AENJA_20311
OG0001691	YEAST01315	AENJA_24035
OG0001704	YEAST01293	AENJA_00857
OG0001706	YEAST03424	AENJA_00912
OG0001707	YEAST06049, YEAST00407, YEAST04739	AENJA_00981, AENJA_25581
OG0001708	YEAST05744, YEAST05745	AENJA_01039
OG0001709	YEAST04440	AENJA_12151, AENJA_01136
OG0001713	YEAST04039	AENJA_02209
OG0001718	YEAST01537	AENJA_02907
OG0001721	YEAST04881, YEAST05253, YEAST00698	AENJA_03497
OG0001723	YEAST01435	AENJA_04029, AENJA_12578
OG0001727	YEAST04543	AENJA_06020
OG0001728	YEAST03347	AENJA_08879, AENJA_09822
OG0001730	YEAST00177	AENJA_09007
OG0001739	YEAST03760	AENJA_15111
OG0001745	YEAST01431	AENJA_18802
OG0001750	YEAST03628	AENJA_22826
OG0001754	YEAST03682	AENJA_24677
OG0001755	YEAST02688	AENJA_24905
OG0001756	YEAST00620	AENJA_25749, AENJA_25480
OG0001769	YEAST04726	AENJA_00392, AENJA_14833
OG0001770	YEAST02590	AENJA_00514
OG0001774	YEAST05166	AENJA_01099, AENJA_09499
OG0001775	YEAST05594	AENJA_01192
OG0001780	YEAST03768	AENJA_03259, AENJA_03267, AENJA_06530
OG0001781	YEAST01882	AENJA_25405, AENJA_03406
OG0001782	YEAST02421	AENJA_04195, AENJA_22157
OG0001785	YEAST02713	AENJA_04786
OG0001787	YEAST03546	AENJA_05662
OG0001792	YEAST04331	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971
OG0001792	YEAST04595	AENJA_06373
OG0001793	YEAST02466	AENJA_07131, AENJA_15294
OG0001805	YEAST05496, YEAST01242	AENJA_10542
OG0001807	YEAST05464	AENJA_12201
OG0001808	YEAST01298	AENJA_13026
OG0001818	YEAST05902, YEAST04712	AENJA_18459
OG0001822	YEAST04378, YEAST01659	AENJA_21678
OG0001826	YEAST04777, YEAST01697, YEAST05781	AENJA_23249
OG0001828	YEAST04676	AENJA_23757
OG0001829	YEAST01613, YEAST00136, YEAST02008	AENJA_24206
OG0001831	YEAST00024	AENJA_25733
OG0001846	YEAST05067	AENJA_23250, AENJA_00173
OG0001850	YEAST01913	AENJA_00766
OG0001852	YEAST03121	AENJA_01522, AENJA_13282, AENJA_18334
OG0001853	YEAST05176	AENJA_03214, AENJA_13354
OG0001857	YEAST04741	AENJA_04553
OG0001860	YEAST00188	AENJA_05152
OG0001861	YEAST05779, YEAST04773	AENJA_25398, AENJA_11706, AENJA_05340
OG0001863	YEAST03017	AENJA_14971, AENJA_06983
OG0001866	YEAST05095, YEAST05570	AENJA_07311, AENJA_07312
OG0001867	YEAST01669	AENJA_07397
OG0001873	YEAST00981, YEAST00267	AENJA_08353, AENJA_24095
OG0001875	YEAST04137	AENJA_09123, AENJA_16491
OG0001877	YEAST04134	AENJA_09356
OG0001886	YEAST03260	AENJA_14779
OG0001888	YEAST05749, YEAST01573	AENJA_15918
OG0001893	YEAST01023	AENJA_19715
OG0001894	YEAST00433	AENJA_21040
OG0001899	YEAST01210, YEAST04466	AENJA_25912
OG0001913	YEAST05520	AENJA_00224
OG0001915	YEAST04791	AENJA_00588
OG0001917	YEAST01859	AENJA_01170
OG0001923	YEAST05881	AENJA_03271
OG0001926	YEAST02948	AENJA_04624
OG0001932	YEAST03770, YEAST03179	AENJA_07865
OG0001934	YEAST00877	AENJA_08721
OG0001935	YEAST00431	AENJA_16826, AENJA_08803
OG0001938	YEAST03931	AENJA_09456
OG0001940	YEAST04188, YEAST05646	AENJA_10312
OG0001943	YEAST02393, YEAST05966	AENJA_12411
OG0001945	YEAST01671	AENJA_12644, AENJA_24575
OG0001947	YEAST02570	AENJA_13122
OG0001951	YEAST00941, YEAST05396	AENJA_15959
OG0001952	YEAST04673, YEAST01990, YEAST00155	AENJA_19250, AENJA_16307
OG0001965	YEAST04582	AENJA_21031, AENJA_26304
OG0001968	YEAST04910	AENJA_22770
OG0001969	YEAST06173	AENJA_23560
OG0001972	YEAST01822, YEAST03363	AENJA_26436
OG0001985	YEAST04959	AENJA_00265
OG0001992	YEAST02679	AENJA_04726, AENJA_03071
OG0001998	YEAST00890	AENJA_04890
OG0002001	YEAST00502, YEAST03944	AENJA_07130, AENJA_13848
OG0002003	YEAST02826, YEAST03671	AENJA_07348, AENJA_16965
OG0002008	YEAST00768	AENJA_09596
OG0002010	YEAST00609	AENJA_11279
OG0002013	YEAST03040	AENJA_12704, AENJA_12703
OG0002014	YEAST02422	AENJA_13118
OG0002015	YEAST05525	AENJA_13757
OG0002025	YEAST03650	AENJA_16933
OG0002026	YEAST01247	AENJA_17399, AENJA_20637
OG0002029	YEAST02646	AENJA_17966, AENJA_23173
OG0002031	YEAST02752	AENJA_20118
OG0002032	YEAST01221	AENJA_20630
OG0002059	YEAST05893, YEAST04718	AENJA_02772
OG0002062	YEAST05454	AENJA_03055
OG0002063	YEAST00838	AENJA_14140, AENJA_04991
OG0002067	YEAST03444	AENJA_05900
OG0002069	YEAST05962	AENJA_06511
OG0002073	YEAST04552	AENJA_09126, AENJA_08139
OG0002076	YEAST02206	AENJA_09702
OG0002078	YEAST06232	AENJA_10297
OG0002079	YEAST05765, YEAST00483	AENJA_10742, AENJA_19098
OG0002080	YEAST05220, YEAST04736	AENJA_12041
OG0002084	YEAST04529	AENJA_17921, AENJA_14845, AENJA_17915, AENJA_25742
OG0002087	YEAST05702	AENJA_23537, AENJA_15799
OG0002090	YEAST02246	AENJA_19678
OG0002093	YEAST02255	AENJA_20905
OG0002097	YEAST02697	AENJA_21956
OG0002101	YEAST03902	AENJA_24473
OG0002103	YEAST05974	AENJA_24883
OG0002106	YEAST03654	AENJA_25552, AENJA_25673
OG0002108	YEAST03715	AENJA_26100
OG0002123	YEAST02444	AENJA_00359
OG0002125	YEAST05183	AENJA_00917
OG0002131	YEAST04275	AENJA_05093, AENJA_06526, AENJA_03621
OG0002137	YEAST04320	AENJA_15350, AENJA_06237
OG0002138	YEAST02406	AENJA_06936
OG0002144	YEAST02673	AENJA_10174
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	AENJA_10360
OG0002147	YEAST04532, YEAST01219	AENJA_10898
OG0002148	YEAST02060	AENJA_10936, AENJA_17931
OG0002152	YEAST05624	AENJA_11762
OG0002156	YEAST03007	AENJA_12297
OG0002160	YEAST03960	AENJA_13922
OG0002165	YEAST04504	AENJA_16068
OG0002168	YEAST00516	AENJA_16471, AENJA_23270
OG0002169	YEAST02258	AENJA_17912
OG0002175	YEAST04956	AENJA_18688
OG0002184	YEAST00242	AENJA_22069
OG0002185	YEAST05212	AENJA_22305
OG0002188	YEAST04638, YEAST03913	AENJA_22979
OG0002189	YEAST02882, YEAST04447	AENJA_23289, AENJA_24476
OG0002213	YEAST01241, YEAST05495	AENJA_00491
OG0002216	YEAST06040	AENJA_06974, AENJA_00740, AENJA_06973
OG0002217	YEAST06033	AENJA_01250, AENJA_10139
OG0002222	YEAST03240	AENJA_01746
OG0002224	YEAST01574	AENJA_02077
OG0002225	YEAST04939	AENJA_02179
OG0002226	YEAST00948	AENJA_02285, AENJA_21347
OG0002228	YEAST04154, YEAST05632	AENJA_02422
OG0002233	YEAST00277	AENJA_04151
OG0002239	YEAST01621	AENJA_05630
OG0002241	YEAST02005	AENJA_06217
OG0002243	YEAST04599, YEAST03601, YEAST04600	AENJA_06283
OG0002244	YEAST02768	AENJA_20811, AENJA_25845, AENJA_06734, AENJA_20367, AENJA_25846, AENJA_11508
OG0002252	YEAST00826	AENJA_24190, AENJA_19865, AENJA_09873
OG0002261	YEAST00472	AENJA_13619
OG0002264	YEAST01705	AENJA_14565
OG0002279	YEAST05800	AENJA_21727
OG0002282	YEAST00881	AENJA_23640
OG0002288	YEAST01591, YEAST05154	AENJA_25474
OG0002292	YEAST00152	AENJA_26405
OG0002312	YEAST06295	AENJA_00869
OG0002316	YEAST01805	AENJA_01956
OG0002318	YEAST02923	AENJA_02715, AENJA_16923, AENJA_16483
OG0002319	YEAST00329	AENJA_03189
OG0002321	YEAST02461	AENJA_03802
OG0002324	YEAST02615, YEAST06287	AENJA_19401, AENJA_05816
OG0002326	YEAST00310, YEAST02699	AENJA_06622, AENJA_06618
OG0002327	YEAST00346, YEAST06217	AENJA_22580, AENJA_06976
OG0002331	YEAST01653	AENJA_08499
OG0002332	YEAST01606, YEAST05184, YEAST00285	AENJA_09253
OG0002341	YEAST03640, YEAST04562	AENJA_11703
OG0002344	YEAST02312, YEAST02019	AENJA_13012, AENJA_13013
OG0002346	YEAST02012	AENJA_13792
OG0002348	YEAST01845	AENJA_15315
OG0002355	YEAST00016	AENJA_18224
OG0002356	YEAST00259	AENJA_18622
OG0002361	YEAST01027	AENJA_19370
OG0002367	YEAST01179	AENJA_22340, AENJA_23782
OG0002369	YEAST03766	AENJA_22567
OG0002374	YEAST02010, YEAST00133	AENJA_25507
OG0002377	YEAST05000	AENJA_26503
OG0002406	YEAST05509	AENJA_04613
OG0002407	YEAST00012	AENJA_04703
OG0002409	YEAST02027	AENJA_05961
OG0002411	YEAST05950, YEAST02407	AENJA_07692, AENJA_07684
OG0002412	YEAST06171	AENJA_07876
OG0002413	YEAST01196	AENJA_18117, AENJA_07911
OG0002415	YEAST01271	AENJA_08809, AENJA_08808
OG0002421	YEAST02982	AENJA_11342, AENJA_23395
OG0002422	YEAST05026	AENJA_11769
OG0002426	YEAST00184	AENJA_12348
OG0002441	YEAST00068, YEAST02278, YEAST05821	AENJA_17578
OG0002442	YEAST05932	AENJA_19513
OG0002443	YEAST04906	AENJA_19788, AENJA_19789
OG0002446	YEAST04254	AENJA_21367
OG0002448	YEAST00626	AENJA_23309
OG0002448	YEAST03419	AENJA_22030
OG0002450	YEAST04575	AENJA_22561
OG0002453	YEAST00512	AENJA_24398
OG0002476	YEAST05799	AENJA_00015, AENJA_24202
OG0002486	YEAST01433	AENJA_22266, AENJA_12065, AENJA_02025
OG0002492	YEAST01624	AENJA_02686
OG0002494	YEAST02402	AENJA_03043
OG0002495	YEAST02772	AENJA_03162
OG0002497	YEAST02747	AENJA_04655
OG0002500	YEAST05648	AENJA_05082
OG0002505	YEAST02959	AENJA_07007
OG0002510	YEAST04753	AENJA_07822
OG0002516	YEAST00066	AENJA_22367, AENJA_09582
OG0002518	YEAST02890	AENJA_09754
OG0002520	YEAST05256	AENJA_10489
OG0002523	YEAST06234	AENJA_11036
OG0002527	YEAST01639	AENJA_11560
OG0002528	YEAST00372	AENJA_11715
OG0002530	YEAST05530, YEAST03790	AENJA_12467
OG0002532	YEAST03235	AENJA_13222
OG0002533	YEAST04525	AENJA_13514
OG0002543	YEAST00527	AENJA_15970
OG0002557	YEAST06243	AENJA_22119
OG0002561	YEAST04438, YEAST02106	AENJA_23733, AENJA_26836
OG0002562	YEAST03992	AENJA_24354
OG0002564	YEAST02186	AENJA_24782
OG0002565	YEAST04224, YEAST02499	AENJA_24939
OG0002570	YEAST00592	AENJA_26246
OG0002594	YEAST06174	AENJA_08034, AENJA_01113, AENJA_05641
OG0002598	YEAST04621, YEAST03577	AENJA_19208, AENJA_02160
OG0002605	YEAST06332	AENJA_04724, AENJA_04725
OG0002608	YEAST03716, YEAST02846	AENJA_05149
OG0002609	YEAST01355	AENJA_05158
OG0002610	YEAST01078, YEAST03973	AENJA_05401
OG0002612	YEAST03508	AENJA_06862
OG0002617	YEAST00866	AENJA_07485
OG0002618	YEAST06247	AENJA_26393, AENJA_07573
OG0002621	YEAST05551	AENJA_23070, AENJA_07837
OG0002629	YEAST05919	AENJA_09742, AENJA_14911
OG0002632	YEAST02755	AENJA_10800
OG0002633	YEAST04206	AENJA_10970
OG0002636	YEAST01664, YEAST06215	AENJA_11871
OG0002638	YEAST00919, YEAST04703	AENJA_12588
OG0002643	YEAST01938	AENJA_13808
OG0002644	YEAST00724	AENJA_13822
OG0002645	YEAST01436	AENJA_17636, AENJA_16911, AENJA_13967
OG0002646	YEAST01946	AENJA_14082, AENJA_14081
OG0002651	YEAST02868	AENJA_16730
OG0002652	YEAST04937	AENJA_17178
OG0002656	YEAST05701	AENJA_18631
OG0002659	YEAST06290	AENJA_19544
OG0002666	YEAST02507	AENJA_21371
OG0002668	YEAST02324	AENJA_22301
OG0002677	YEAST05210	AENJA_24115
OG0002705	YEAST00553	AENJA_00396
OG0002713	YEAST00413, YEAST06057	AENJA_24272, AENJA_11110, AENJA_24274, AENJA_24275, AENJA_02692
OG0002715	YEAST01174, YEAST04131	AENJA_02725
OG0002717	YEAST02430	AENJA_03489
OG0002718	YEAST03380, YEAST03502	AENJA_03576, AENJA_22285
OG0002720	YEAST01914	AENJA_04824
OG0002722	YEAST04059	AENJA_05319
OG0002726	YEAST02958	AENJA_24284, AENJA_17586, AENJA_06393
OG0002729	YEAST01155	AENJA_10262, AENJA_07855, AENJA_13538, AENJA_11456
OG0002737	YEAST02827	AENJA_10144
OG0002739	YEAST01877	AENJA_23418, AENJA_10424
OG0002740	YEAST01658	AENJA_10478
OG0002742	YEAST03713	AENJA_11246
OG0002743	YEAST01824, YEAST03362	AENJA_11676
OG0002745	YEAST04244	AENJA_12347
OG0002746	YEAST04902, YEAST05332	AENJA_12370
OG0002747	YEAST05617	AENJA_13285
OG0002749	YEAST02810	AENJA_13469, AENJA_25924
OG0002750	YEAST04952	AENJA_13825, AENJA_23058
OG0002752	YEAST03686	AENJA_14300
OG0002753	YEAST03742	AENJA_14354
OG0002754	YEAST03620	AENJA_14712
OG0002756	YEAST04058	AENJA_14955, AENJA_16000
OG0002758	YEAST04409	AENJA_15361
OG0002760	YEAST01927	AENJA_15553, AENJA_19974, AENJA_22798
OG0002761	YEAST03261	AENJA_15660
OG0002763	YEAST00260	AENJA_17978
OG0002764	YEAST00423	AENJA_17995
OG0002765	YEAST01667, YEAST05523	AENJA_18242
OG0002766	YEAST05357	AENJA_18864
OG0002767	YEAST04591	AENJA_18908
OG0002771	YEAST02043	AENJA_19705
OG0002772	YEAST03384	AENJA_20331
OG0002773	YEAST03677	AENJA_20591
OG0002774	YEAST03575	AENJA_20726
OG0002775	YEAST03021	AENJA_20727
OG0002781	YEAST05450	AENJA_21782
OG0002782	YEAST02121	AENJA_22198
OG0002785	YEAST06106, YEAST01228	AENJA_23498
OG0002788	YEAST02578, YEAST01232	AENJA_24424
OG0002789	YEAST05269	AENJA_25550, AENJA_24835
OG0002793	YEAST01371	AENJA_26539, AENJA_26542
OG0002817	YEAST01189, YEAST04922	AENJA_00735
OG0002824	YEAST02137	AENJA_01440
OG0002826	YEAST00174	AENJA_02168
OG0002827	YEAST05976	AENJA_02347
OG0002828	YEAST00227, YEAST00963	AENJA_02401
OG0002831	YEAST03282	AENJA_02800, AENJA_02799
OG0002835	YEAST02656	AENJA_04456
